account_id,plan_tier,user_segment,platform,acquisition_channel,accounts_linked,goals_set,account_age_days,monthly_revenue,churned_90d,upgraded_90d
fw_acc_00115,pro,budget_focused,ios,paid_social,1,0,89,9.99,True,False
fw_acc_00116,free,savings_motivated,ios,organic,3,0,323,0.0,False,False
fw_acc_00117,free,budget_focused,ios,referral,1,0,36,0.0,False,False
fw_acc_00118,free,savings_motivated,android,organic,1,0,634,0.0,False,False
fw_acc_00119,pro,anxious_tracker,android,organic,1,0,208,9.99,False,False
fw_acc_00120,pro,savings_motivated,android,referral,1,0,656,9.99,True,False
fw_acc_00121,free,savings_motivated,android,organic,3,0,316,0.0,True,False
fw_acc_00122,free,new_to_tracking,ios,other,3,0,182,0.0,False,False
fw_acc_00123,pro,mint_refugee,ios,organic,1,0,245,9.99,False,False
fw_acc_00124,pro,new_to_tracking,android,paid_social,3,1,418,9.99,False,False
fw_acc_00125,pro,anxious_tracker,ios,referral,1,1,394,9.99,False,False
fw_acc_00126,free,new_to_tracking,ios,referral,1,2,677,0.0,False,True
fw_acc_00127,free,anxious_tracker,android,organic,1,1,518,0.0,False,True
fw_acc_00128,free,savings_motivated,android,other,1,0,443,0.0,False,False
fw_acc_00129,pro,new_to_tracking,android,other,2,3,300,9.99,False,False
fw_acc_00130,pro,new_to_tracking,ios,referral,1,0,571,9.99,False,False
fw_acc_00131,free,anxious_tracker,android,other,1,1,479,0.0,False,False
fw_acc_00132,free,mint_refugee,ios,organic,4,0,592,0.0,True,False
fw_acc_00133,free,anxious_tracker,android,organic,1,0,162,0.0,False,False
fw_acc_00134,free,new_to_tracking,ios,paid_social,1,0,257,0.0,True,False
fw_acc_00135,free,budget_focused,ios,organic,1,0,473,0.0,False,False
fw_acc_00136,free,mint_refugee,ios,mint_refugee,1,0,688,0.0,False,True
fw_acc_00137,free,budget_focused,android,paid_social,1,1,468,0.0,False,True
fw_acc_00138,free,savings_motivated,android,referral,1,0,404,0.0,False,False
fw_acc_00139,free,mint_refugee,android,mint_refugee,1,0,680,0.0,False,False
fw_acc_00140,pro,budget_focused,android,paid_social,3,0,111,9.99,False,False
fw_acc_00141,free,anxious_tracker,android,organic,1,1,101,0.0,False,False
fw_acc_00142,free,anxious_tracker,android,paid_social,3,0,700,0.0,False,False
fw_acc_00143,free,new_to_tracking,ios,organic,4,0,333,0.0,False,False
fw_acc_00144,free,new_to_tracking,ios,paid_social,1,0,131,0.0,False,False
fw_acc_00145,pro,new_to_tracking,android,referral,1,0,672,9.99,False,False
fw_acc_00146,pro,savings_motivated,ios,organic,1,0,330,9.99,True,False
fw_acc_00147,free,anxious_tracker,android,organic,1,0,662,0.0,True,False
fw_acc_00148,free,budget_focused,ios,organic,1,0,346,0.0,False,False
fw_acc_00149,free,anxious_tracker,android,referral,1,0,292,0.0,False,False
fw_acc_00150,free,anxious_tracker,ios,paid_social,4,0,127,0.0,False,False
fw_acc_00151,free,anxious_tracker,android,organic,2,0,223,0.0,False,False
fw_acc_00152,free,anxious_tracker,ios,paid_social,1,0,146,0.0,False,False
fw_acc_00153,pro,mint_refugee,ios,other,1,0,57,9.99,False,False
fw_acc_00154,free,budget_focused,ios,paid_social,1,0,669,0.0,True,False
fw_acc_00155,free,mint_refugee,android,mint_refugee,1,1,384,0.0,False,False
fw_acc_00156,free,budget_focused,ios,organic,1,3,186,0.0,True,False
fw_acc_00157,pro,mint_refugee,android,mint_refugee,2,0,165,9.99,False,False
fw_acc_00158,free,anxious_tracker,android,organic,1,0,657,0.0,False,False
fw_acc_00159,free,new_to_tracking,ios,referral,4,0,653,0.0,False,False
fw_acc_00160,free,savings_motivated,android,referral,1,0,374,0.0,True,False
fw_acc_00161,free,new_to_tracking,ios,other,1,0,106,0.0,False,False
fw_acc_00162,free,mint_refugee,android,paid_social,1,0,599,0.0,True,False
fw_acc_00163,free,anxious_tracker,android,paid_social,1,0,100,0.0,True,False
fw_acc_00164,free,budget_focused,ios,organic,1,0,395,0.0,True,False
fw_acc_00165,pro,anxious_tracker,android,organic,1,3,351,9.99,False,False
fw_acc_00166,free,new_to_tracking,android,referral,4,0,167,0.0,False,False
fw_acc_00167,free,savings_motivated,android,organic,3,0,100,0.0,False,False
fw_acc_00168,free,savings_motivated,android,other,1,3,553,0.0,False,False
fw_acc_00169,free,anxious_tracker,ios,other,2,0,511,0.0,True,False
fw_acc_00170,pro,budget_focused,ios,referral,4,3,553,9.99,False,False
fw_acc_00171,free,anxious_tracker,android,referral,1,0,183,0.0,True,False
fw_acc_00172,pro,new_to_tracking,android,referral,2,0,473,9.99,False,False
fw_acc_00173,pro,budget_focused,android,paid_social,1,0,598,9.99,False,False
fw_acc_00174,free,budget_focused,ios,other,1,0,218,0.0,True,False
fw_acc_00175,pro,new_to_tracking,ios,organic,1,0,542,9.99,True,False
fw_acc_00176,pro,anxious_tracker,android,organic,1,1,461,9.99,False,False
fw_acc_00177,pro,new_to_tracking,ios,paid_social,2,0,396,9.99,False,False
fw_acc_00178,free,new_to_tracking,android,referral,3,0,163,0.0,False,False
fw_acc_00179,pro,mint_refugee,ios,referral,2,2,95,9.99,False,False
fw_acc_00180,pro,budget_focused,ios,organic,2,0,322,9.99,False,False
fw_acc_00181,pro,budget_focused,ios,other,1,0,625,9.99,False,False
fw_acc_00182,free,savings_motivated,ios,organic,3,0,375,0.0,True,False
fw_acc_00183,free,budget_focused,android,paid_social,1,0,533,0.0,True,False
fw_acc_00184,pro,new_to_tracking,ios,organic,4,0,83,9.99,False,False
fw_acc_00185,free,savings_motivated,android,organic,1,0,374,0.0,False,False
fw_acc_00186,pro,budget_focused,android,referral,1,2,152,9.99,True,False
fw_acc_00187,free,mint_refugee,android,organic,1,0,331,0.0,False,False
fw_acc_00188,pro,mint_refugee,ios,mint_refugee,2,0,685,9.99,False,False
fw_acc_00189,free,budget_focused,ios,other,1,0,361,0.0,False,False
fw_acc_00190,pro,budget_focused,android,referral,1,0,94,9.99,False,False
fw_acc_00191,free,anxious_tracker,ios,organic,4,0,316,0.0,False,False
fw_acc_00192,free,budget_focused,android,other,1,0,643,0.0,True,False
fw_acc_00193,pro,anxious_tracker,android,paid_social,2,0,709,9.99,True,False
fw_acc_00194,free,mint_refugee,ios,organic,3,0,674,0.0,False,True
fw_acc_00195,free,budget_focused,ios,paid_social,1,0,92,0.0,False,False
fw_acc_00196,pro,anxious_tracker,ios,referral,1,0,525,9.99,False,False
fw_acc_00197,free,mint_refugee,android,organic,3,0,640,0.0,True,True
fw_acc_00198,free,mint_refugee,android,mint_refugee,1,0,341,0.0,False,False
fw_acc_00199,free,anxious_tracker,android,referral,1,0,192,0.0,False,False
fw_acc_00200,free,anxious_tracker,android,organic,1,0,581,0.0,False,False
fw_acc_00201,free,new_to_tracking,ios,paid_social,1,0,504,0.0,False,False
fw_acc_00202,free,new_to_tracking,android,paid_social,1,0,710,0.0,True,False
fw_acc_00203,free,savings_motivated,android,organic,1,0,528,0.0,True,False
fw_acc_00204,free,anxious_tracker,ios,referral,1,0,368,0.0,False,False
fw_acc_00205,free,anxious_tracker,android,organic,4,0,654,0.0,True,False
fw_acc_00206,free,savings_motivated,ios,referral,4,0,633,0.0,True,False
fw_acc_00207,free,new_to_tracking,android,organic,1,0,229,0.0,True,False
fw_acc_00208,free,savings_motivated,ios,other,4,0,508,0.0,False,False
fw_acc_00209,pro,anxious_tracker,ios,paid_social,1,0,362,9.99,True,False
fw_acc_00210,pro,mint_refugee,android,other,1,0,147,9.99,False,False
fw_acc_00211,free,anxious_tracker,ios,paid_social,1,2,158,0.0,False,False
fw_acc_00212,free,mint_refugee,android,mint_refugee,1,0,605,0.0,True,False
fw_acc_00213,free,new_to_tracking,ios,organic,1,0,416,0.0,False,False
fw_acc_00214,free,anxious_tracker,ios,other,1,0,683,0.0,True,True
fw_acc_00215,free,anxious_tracker,ios,paid_social,3,0,426,0.0,True,False
fw_acc_00216,free,anxious_tracker,ios,paid_social,4,0,577,0.0,False,False
fw_acc_00217,pro,budget_focused,android,organic,1,0,388,9.99,True,False
fw_acc_00218,free,budget_focused,ios,organic,1,0,355,0.0,False,False
fw_acc_00219,pro,anxious_tracker,android,organic,1,0,416,9.99,False,False
fw_acc_00220,free,budget_focused,android,paid_social,2,0,590,0.0,False,False
fw_acc_00221,pro,savings_motivated,android,referral,1,0,718,9.99,False,False
fw_acc_00222,free,savings_motivated,android,paid_social,1,0,247,0.0,False,False
fw_acc_00223,pro,savings_motivated,android,organic,4,0,711,9.99,False,False
fw_acc_00224,free,anxious_tracker,ios,organic,4,0,721,0.0,False,False
fw_acc_00225,pro,mint_refugee,ios,organic,1,0,226,9.99,False,False
fw_acc_00226,free,budget_focused,android,paid_social,3,0,559,0.0,False,False
fw_acc_00227,pro,mint_refugee,ios,paid_social,3,0,266,9.99,False,False
fw_acc_00228,pro,anxious_tracker,ios,organic,3,0,514,9.99,False,False
fw_acc_00229,pro,savings_motivated,ios,paid_social,1,0,570,9.99,False,False
fw_acc_00230,pro,new_to_tracking,android,organic,1,0,308,9.99,True,False
fw_acc_00231,pro,savings_motivated,android,organic,4,0,565,9.99,False,False
fw_acc_00232,free,savings_motivated,android,organic,1,0,699,0.0,True,False
fw_acc_00233,free,budget_focused,ios,referral,3,2,154,0.0,False,False
fw_acc_00234,free,savings_motivated,android,organic,1,0,306,0.0,False,False
fw_acc_00235,free,budget_focused,android,other,1,0,193,0.0,False,False
fw_acc_00236,free,new_to_tracking,android,organic,1,0,310,0.0,True,False
fw_acc_00237,free,new_to_tracking,ios,other,1,0,570,0.0,False,False
fw_acc_00238,free,anxious_tracker,android,organic,1,0,483,0.0,False,False
fw_acc_00239,free,anxious_tracker,android,organic,1,0,639,0.0,False,False
fw_acc_00240,free,anxious_tracker,android,organic,1,0,157,0.0,False,True
fw_acc_00241,free,budget_focused,ios,organic,1,0,610,0.0,True,False
fw_acc_00242,pro,anxious_tracker,ios,organic,1,0,429,9.99,False,False
fw_acc_00243,pro,mint_refugee,android,referral,2,0,316,9.99,True,False
fw_acc_00244,free,anxious_tracker,android,referral,1,0,439,0.0,False,False
fw_acc_00245,pro,new_to_tracking,android,referral,1,0,624,9.99,True,False
fw_acc_00246,free,savings_motivated,ios,paid_social,1,0,77,0.0,False,False
fw_acc_00247,free,anxious_tracker,android,paid_social,4,0,710,0.0,False,False
fw_acc_00248,free,anxious_tracker,ios,paid_social,4,4,591,0.0,False,False
fw_acc_00249,free,new_to_tracking,android,paid_social,1,0,60,0.0,False,False
fw_acc_00250,free,new_to_tracking,android,paid_social,1,0,307,0.0,False,False
fw_acc_00251,pro,savings_motivated,ios,other,1,0,405,9.99,False,False
fw_acc_00252,free,anxious_tracker,android,other,1,0,150,0.0,True,False
fw_acc_00253,free,budget_focused,android,organic,1,0,17,0.0,False,False
fw_acc_00254,pro,budget_focused,ios,organic,3,0,485,9.99,True,False
fw_acc_00255,pro,mint_refugee,ios,referral,1,0,643,9.99,False,False
fw_acc_00256,free,anxious_tracker,ios,organic,1,0,626,0.0,False,False
fw_acc_00257,free,budget_focused,ios,referral,3,0,71,0.0,False,False
fw_acc_00258,free,mint_refugee,android,mint_refugee,2,0,256,0.0,False,False
fw_acc_00259,free,savings_motivated,android,referral,1,0,193,0.0,False,False
fw_acc_00260,pro,mint_refugee,android,mint_refugee,1,0,340,9.99,True,False
fw_acc_00261,free,anxious_tracker,ios,organic,4,0,244,0.0,True,False
fw_acc_00262,free,budget_focused,ios,paid_social,2,0,411,0.0,False,False
fw_acc_00263,free,mint_refugee,ios,mint_refugee,4,0,66,0.0,False,True
fw_acc_00264,free,mint_refugee,android,referral,1,0,236,0.0,False,False
fw_acc_00265,free,new_to_tracking,android,organic,1,0,504,0.0,False,False
fw_acc_00266,free,anxious_tracker,ios,organic,1,0,491,0.0,True,False
fw_acc_00267,free,budget_focused,ios,other,1,0,494,0.0,True,False
fw_acc_00268,free,anxious_tracker,android,referral,4,0,30,0.0,False,False
fw_acc_00269,free,mint_refugee,ios,mint_refugee,1,0,525,0.0,False,False
fw_acc_00270,free,savings_motivated,android,paid_social,4,0,374,0.0,False,False
fw_acc_00271,pro,new_to_tracking,android,paid_social,1,0,90,9.99,False,False
fw_acc_00272,pro,budget_focused,android,organic,3,4,168,9.99,False,False
fw_acc_00273,pro,new_to_tracking,android,referral,2,4,30,9.99,True,False
fw_acc_00274,pro,budget_focused,ios,paid_social,1,0,728,9.99,False,False
fw_acc_00275,pro,anxious_tracker,ios,organic,1,0,210,9.99,True,False
fw_acc_00276,free,mint_refugee,ios,other,1,0,484,0.0,False,False
fw_acc_00277,pro,savings_motivated,android,referral,1,0,109,9.99,True,False
fw_acc_00278,free,savings_motivated,android,organic,1,0,458,0.0,True,False
fw_acc_00279,pro,new_to_tracking,android,organic,1,0,722,9.99,False,False
fw_acc_00280,free,anxious_tracker,android,other,1,0,591,0.0,True,False
fw_acc_00281,free,mint_refugee,ios,mint_refugee,1,0,421,0.0,True,False
fw_acc_00282,pro,savings_motivated,ios,paid_social,1,0,157,9.99,False,False
fw_acc_00283,free,mint_refugee,ios,organic,1,0,251,0.0,True,False
fw_acc_00284,free,mint_refugee,ios,organic,1,0,475,0.0,True,False
fw_acc_00285,pro,savings_motivated,ios,referral,1,0,266,9.99,True,False
fw_acc_00286,free,savings_motivated,android,referral,2,0,338,0.0,True,False
fw_acc_00287,free,anxious_tracker,ios,organic,1,0,473,0.0,False,False
fw_acc_00288,free,mint_refugee,android,mint_refugee,3,4,408,0.0,False,False
fw_acc_00289,pro,anxious_tracker,ios,referral,3,0,187,9.99,False,False
fw_acc_00290,free,anxious_tracker,ios,organic,2,0,92,0.0,False,False
fw_acc_00291,free,budget_focused,ios,organic,4,0,419,0.0,False,False
fw_acc_00292,free,budget_focused,android,referral,3,0,622,0.0,False,False
fw_acc_00293,free,anxious_tracker,ios,organic,1,0,725,0.0,False,False
fw_acc_00294,free,anxious_tracker,android,paid_social,4,0,591,0.0,True,False
fw_acc_00295,free,savings_motivated,android,organic,1,0,312,0.0,True,False
fw_acc_00296,pro,savings_motivated,ios,organic,1,0,272,9.99,False,False
fw_acc_00297,pro,anxious_tracker,android,paid_social,1,0,424,9.99,False,False
fw_acc_00298,pro,budget_focused,ios,other,1,0,563,9.99,False,False
fw_acc_00299,free,anxious_tracker,android,organic,3,4,641,0.0,False,False
fw_acc_00300,free,anxious_tracker,ios,paid_social,1,0,608,0.0,True,False
fw_acc_00301,free,savings_motivated,android,organic,1,0,39,0.0,True,False
fw_acc_00302,free,new_to_tracking,android,paid_social,1,0,365,0.0,True,False
fw_acc_00303,free,budget_focused,android,organic,2,1,321,0.0,False,False
fw_acc_00304,pro,anxious_tracker,android,organic,1,0,192,9.99,True,False
fw_acc_00305,free,budget_focused,android,referral,1,0,204,0.0,False,False
fw_acc_00306,free,anxious_tracker,android,paid_social,4,0,233,0.0,False,False
fw_acc_00307,free,new_to_tracking,ios,organic,1,3,482,0.0,False,False
fw_acc_00308,pro,savings_motivated,android,referral,3,0,370,9.99,False,False
fw_acc_00309,pro,savings_motivated,ios,referral,1,0,100,9.99,True,False
fw_acc_00310,free,anxious_tracker,ios,organic,1,0,411,0.0,True,False
fw_acc_00311,free,savings_motivated,android,referral,1,0,191,0.0,False,False
fw_acc_00312,free,budget_focused,ios,paid_social,1,0,23,0.0,True,False
fw_acc_00313,free,savings_motivated,ios,paid_social,1,0,468,0.0,True,False
fw_acc_00314,pro,anxious_tracker,ios,paid_social,1,0,186,9.99,False,False
fw_acc_00315,pro,budget_focused,ios,paid_social,1,0,288,9.99,False,False
fw_acc_00316,free,new_to_tracking,ios,referral,3,0,573,0.0,True,False
fw_acc_00317,pro,anxious_tracker,android,paid_social,1,0,370,9.99,True,False
fw_acc_00318,pro,anxious_tracker,android,organic,1,0,616,9.99,False,False
fw_acc_00319,free,mint_refugee,android,mint_refugee,1,0,225,0.0,False,False
fw_acc_00320,free,new_to_tracking,ios,paid_social,1,0,540,0.0,False,False
fw_acc_00321,pro,mint_refugee,android,other,2,0,685,9.99,False,False
fw_acc_00322,pro,new_to_tracking,android,referral,4,0,515,9.99,False,False
fw_acc_00323,free,budget_focused,android,other,1,0,109,0.0,False,False
fw_acc_00324,pro,budget_focused,ios,referral,1,0,109,9.99,False,False
fw_acc_00325,pro,budget_focused,ios,paid_social,1,0,237,9.99,False,False
fw_acc_00326,free,budget_focused,ios,paid_social,1,0,147,0.0,False,False
fw_acc_00327,pro,mint_refugee,ios,mint_refugee,3,2,484,9.99,False,False
fw_acc_00328,pro,budget_focused,android,other,3,0,679,9.99,True,False
fw_acc_00329,free,anxious_tracker,android,referral,1,0,67,0.0,True,False
fw_acc_00330,free,savings_motivated,android,organic,1,3,502,0.0,False,False
fw_acc_00331,free,savings_motivated,android,other,1,0,446,0.0,False,False
fw_acc_00332,free,mint_refugee,ios,paid_social,2,0,320,0.0,False,True
fw_acc_00333,free,savings_motivated,ios,paid_social,1,0,232,0.0,True,False
fw_acc_00334,pro,new_to_tracking,ios,organic,1,0,140,9.99,True,False
fw_acc_00335,pro,budget_focused,ios,organic,4,0,100,9.99,False,False
fw_acc_00336,free,mint_refugee,android,mint_refugee,1,0,688,0.0,True,False
fw_acc_00337,free,mint_refugee,android,mint_refugee,1,0,259,0.0,True,False
fw_acc_00338,free,new_to_tracking,android,other,1,0,149,0.0,False,False
fw_acc_00339,free,anxious_tracker,ios,other,2,1,88,0.0,False,True
fw_acc_00340,free,mint_refugee,ios,referral,1,0,527,0.0,False,False
fw_acc_00341,free,anxious_tracker,ios,organic,1,0,222,0.0,True,False
fw_acc_00342,free,mint_refugee,android,referral,1,0,331,0.0,False,True
fw_acc_00343,free,budget_focused,ios,referral,1,0,330,0.0,False,False
fw_acc_00344,free,anxious_tracker,ios,paid_social,1,0,369,0.0,False,False
fw_acc_00345,free,anxious_tracker,android,organic,1,0,134,0.0,True,False
fw_acc_00346,free,anxious_tracker,android,paid_social,1,0,92,0.0,False,False
fw_acc_00347,pro,anxious_tracker,ios,referral,1,0,601,9.99,True,False
fw_acc_00348,pro,anxious_tracker,android,organic,1,0,61,9.99,True,False
fw_acc_00349,free,new_to_tracking,android,paid_social,1,0,685,0.0,True,False
fw_acc_00350,pro,anxious_tracker,ios,paid_social,1,0,528,9.99,True,False
fw_acc_00351,free,budget_focused,ios,paid_social,1,0,490,0.0,False,False
fw_acc_00352,free,budget_focused,ios,organic,1,0,325,0.0,True,False
fw_acc_00353,pro,new_to_tracking,android,referral,1,0,573,9.99,True,False
fw_acc_00354,free,budget_focused,ios,paid_social,1,0,724,0.0,False,True
fw_acc_00355,pro,new_to_tracking,android,organic,1,0,556,9.99,True,False
fw_acc_00356,pro,new_to_tracking,ios,organic,1,0,58,9.99,False,False
fw_acc_00357,free,savings_motivated,ios,other,1,0,100,0.0,False,False
